DATE,LTRUCKSA
2016-01-01,10.425
2016-02-01,10.452
2016-03-01,9.965
2016-04-01,10.408
2016-05-01,10.402
2016-06-01,10.497
2016-07-01,10.834
2016-08-01,10.732
2016-09-01,10.643
2016-10-01,10.973
2016-11-01,10.714
2016-12-01,11.084
2017-01-01,11.008
2017-02-01,11.161
2017-03-01,10.514
2017-04-01,10.605
2017-05-01,10.708
2017-06-01,10.935
2017-07-01,10.851
2017-08-01,10.658
2017-09-01,11.525
2017-10-01,11.71
2017-11-01,11.456
2017-12-01,11.599
2018-01-01,11.617
2018-02-01,11.638
2018-03-01,11.755
2018-04-01,11.924
2018-05-01,11.809
2018-06-01,11.974
2018-07-01,11.789
2018-08-01,11.794
2018-09-01,12.067
2018-10-01,12.07
2018-11-01,12.22
2018-12-01,12.319
2019-01-01,11.503
2019-02-01,11.86
2019-03-01,12.209
2019-04-01,11.668
2019-05-01,12.474
2019-06-01,12.38
2019-07-01,12.34
2019-08-01,12.501
2019-09-01,12.565
2019-10-01,12.33
2019-11-01,12.7
2019-12-01,12.367
