date,HYMTF,HYMTF_v
2016-02-01,41.13,5365.0
2016-03-01,45.0,18260.0
2016-04-01,44.1,8529.0
2016-05-01,40.7,24579.0
2016-06-01,40.03,6785.0
2016-07-01,42.75,41029.0
2016-08-01,42.28,15816.0
2016-09-01,45.6,8683.0
2016-10-01,40.5,11676.0
2016-12-01,41.0,15447.0
2017-01-01,41.25,34084.0
2017-02-01,42.2,10500.0
2017-03-01,43.05,11400.0
2017-04-01,39.8,6227.0
2017-05-01,46.0,35184.0
2017-06-01,48.35,7740.0
2017-07-01,45.4,9719.0
2017-08-01,41.75,38215.0
2017-09-01,40.0,39593.0
2017-10-01,45.25,6227.0
2017-11-01,43.0,12182.0
2017-12-01,44.4,39977.0
2018-01-01,47.5,32875.0
2018-02-01,40.32,30521.0
2018-03-01,36.6,16679.0
2018-04-01,46.01,22982.0
2018-05-01,39.5,313840.0
2018-06-01,37.35,4538.0
2018-07-01,36.86,1366.0
2018-08-01,34.25,4960.0
2018-09-01,34.7,7739.0
2018-10-01,31.0,1405.0
2018-11-01,29.0,24254.0
2018-12-01,25.25,10748.0
2019-01-01,45.0,1141.0
2019-02-01,32.41,2562.0
2019-03-01,30.35,11290.0
2019-04-01,33.5,4865.0
2019-05-01,29.5,1284.0
2019-06-01,30.5,2006.0
2019-07-01,31.7,18380.0
2019-08-01,28.0,10622.0
2019-09-01,30.0,3561.0
2019-10-01,31.4,6698.0
2019-11-01,30.7,3139.0
2019-12-01,31.5,2474.0
2020-01-01,31.5,12870.0
2020-02-01,26.25,14000.0
