date,MZDAY,MZDAY_v
2015-01-01,10.3,3553831.0
2015-02-01,10.722,703303.0
2015-03-01,10.15,1569940.0
2015-04-01,9.75,555937.0
2015-05-01,10.61,388306.0
2015-06-01,9.7,255026.0
2015-07-01,9.77,991525.0
2015-08-01,8.545,593595.0
2015-09-01,7.87,909760.0
2015-10-01,9.82,964573.0
2015-11-01,10.49,528295.0
2015-12-01,10.33,2455531.0
2016-01-01,9.07,733038.0
2016-02-01,6.88,1159896.0
2016-03-01,7.82,580369.0
2016-04-01,7.85,17463390.0
2016-05-01,8.465,3889735.0
2016-06-01,6.64,6558717.0
2016-07-01,7.38,2954695.0
2016-08-01,8.235,2007916.0
2016-09-01,7.62,1903656.0
2016-10-01,8.18,1548795.0
2016-11-01,8.19,2442303.0
2016-12-01,8.13,2032812.0
2017-01-01,7.295,1794491.0
2017-02-01,6.93,1995743.0
2017-03-01,7.18,2652600.0
2017-04-01,7.37,2716735.0
2017-05-01,6.79,2313322.0
2017-06-01,6.97,3100272.0
2017-07-01,7.51,2094105.0
2017-08-01,7.33,2189114.0
2017-09-01,7.62,1545698.0
2017-10-01,7.16,28163046.0
2017-11-01,6.688,1522030.0
2017-12-01,6.64,1104789.0
2018-01-01,7.03,684087.0
2018-02-01,6.92,713516.0
2018-03-01,6.68,898956.0
2018-04-01,6.745,797693.0
2018-05-01,6.21,725138.0
2018-06-01,6.075,1475628.0
2018-07-01,6.19,1920944.0
2018-08-01,5.735,1729857.0
2018-09-01,5.96,1449159.0
2018-10-01,5.21,2052722.0
2018-11-01,5.27,2236444.0
2018-12-01,5.09,2879939.0
2019-01-01,5.49,1233755.0
2019-02-01,5.835,547951.0
2019-03-01,5.56,691901.0
2019-04-01,5.875,355298.0
2019-05-01,4.825,780839.0
2019-06-01,5.155,1796332.0
2019-07-01,4.765,1516463.0
2019-08-01,4.13,3087514.0
2019-09-01,4.425,2036899.0
2019-10-01,4.56,1940038.0
2019-11-01,4.3995,426213.0
2019-12-01,4.22,1035868.0
2020-01-01,4.17,1108805.0
2020-02-01,3.36,2484677.0
