n,date
153,2010-01-01
169,2010-02-01
184,2010-03-01
183,2010-04-01
218,2010-05-01
192,2010-06-01
190,2010-07-01
219,2010-08-01
208,2010-09-01
186,2010-10-01
205,2010-11-01
218,2010-12-01
187,2011-01-01
168,2011-02-01
198,2011-03-01
202,2011-04-01
231,2011-05-01
186,2011-06-01
218,2011-07-01
226,2011-08-01
216,2011-09-01
202,2011-10-01
232,2011-11-01
213,2011-12-01
188,2012-01-01
258,2012-02-01
273,2012-03-01
247,2012-04-01
297,2012-05-01
276,2012-06-01
237,2012-07-01
280,2012-08-01
301,2012-09-01
261,2012-10-01
255,2012-11-01
271,2012-12-01
212,2013-01-01
247,2013-02-01
271,2013-03-01
251,2013-04-01
300,2013-05-01
258,2013-06-01
322,2013-07-01
344,2013-08-01
313,2013-09-01
295,2013-10-01
281,2013-11-01
331,2013-12-01
281,2014-01-01
286,2014-02-01
388,2014-03-01
342,2014-04-01
386,2014-05-01
345,2014-06-01
362,2014-07-01
361,2014-08-01
335,2014-09-01
273,2014-10-01
327,2014-11-01
317,2014-12-01
250,2015-01-01
291,2015-02-01
362,2015-03-01
317,2015-04-01
352,2015-05-01
354,2015-06-01
380,2015-07-01
400,2015-08-01
358,2015-09-01
295,2015-10-01
344,2015-11-01
356,2015-12-01
352,2016-01-01
330,2016-02-01
323,2016-03-01
369,2016-04-01
392,2016-05-01
329,2016-06-01
420,2016-07-01
359,2016-08-01
368,2016-09-01
367,2016-10-01
350,2016-11-01
414,2016-12-01
339,2017-01-01
347,2017-02-01
403,2017-03-01
363,2017-04-01
416,2017-05-01
327,2017-06-01
380,2017-07-01
361,2017-08-01
398,2017-09-01
330,2017-10-01
413,2017-11-01
466,2017-12-01
326,2018-01-01
338,2018-02-01
417,2018-03-01
373,2018-04-01
351,2018-05-01
298,2018-06-01
342,2018-07-01
390,2018-08-01
316,2018-09-01
303,2018-10-01
327,2018-11-01
371,2018-12-01
278,2019-01-01
248,2019-02-01
400,2019-03-01
279,2019-04-01
328,2019-05-01
311,2019-06-01
322,2019-07-01
350,2019-08-01
304,2019-09-01
297,2019-10-01
323,2019-11-01
332,2019-12-01
299,2020-01-01
309,2020-02-01
170,2020-03-01
2,2020-04-01
363,2020-05-01
306,2020-06-01
295,2020-07-01
300,2020-08-01
272,2020-09-01
293,2020-10-01
343,2020-11-01
278,2020-12-01
283,2021-01-01
233,2021-02-01
376,2021-03-01
356,2021-04-01
390,2021-05-01
299,2021-06-01
316,2021-07-01
276,2021-08-01
248,2021-09-01
227,2021-10-01
216,2021-11-01
242,2021-12-01
261,2022-01-01
322,2022-02-01
318,2022-03-01
223,2022-04-01
317,2022-05-01
273,2022-06-01
302,2022-07-01
299,2022-08-01
261,2022-09-01
345,2022-10-01
296,2022-11-01
333,2022-12-01
341,2023-01-01
317,2023-02-01
328,2023-03-01
362,2023-04-01
355,2023-05-01
380,2023-06-01
359,2023-07-01
343,2023-08-01
