date,n,tgp_a,cp_a
2016-01-01,352,2108.9376988636363,24157.677073863637
2016-02-01,330,2248.8411515151515,24621.64103030303
2016-03-01,323,2243.882879256966,25777.481331269348
2016-04-01,369,2178.160298102981,26188.5837398374
2016-05-01,392,2210.344107142857,24755.796658163265
2016-06-01,329,2188.960395136778,26241.94838905775
2016-07-01,420,2016.1099047619048,25947.65876190476
2016-08-01,359,2100.4200835654597,26528.660389972145
2016-09-01,368,1974.7969565217393,26908.381032608697
2016-10-01,367,2059.566648501362,27253.069155313355
2016-11-01,350,2022.221885714286,27234.67108571429
2016-12-01,414,2221.4373429951693,28241.9059178744
2017-01-01,339,2035.277640117994,26114.016784660766
2017-02-01,347,1959.2690489913543,26501.35858789625
2017-03-01,403,2034.6499503722087,27573.23846153846
2017-04-01,363,2179.426694214876,28787.201542699724
2017-05-01,416,2048.9540625,25983.880360576924
2017-06-01,327,2029.459480122324,26891.882048929663
2017-07-01,380,2305.6927105263158,26236.84405263158
2017-08-01,361,1933.263351800554,25031.201551246537
2017-09-01,398,1919.2100502512562,26986.417185929648
2017-10-01,330,2073.049212121212,26799.168393939395
2017-11-01,413,2050.164043583535,27702.445326876514
2017-12-01,466,2057.50008583691,28565.356158798284
2018-01-01,326,1984.6614110429448,26902.046963190187
2018-02-01,338,1978.5501775147927,26479.521686390533
2018-03-01,417,2074.395707434053,27101.291942446045
2018-04-01,373,1869.6287667560323,27271.609356568362
2018-05-01,351,2191.4408262108263,27822.51512820513
2018-06-01,298,2444.8529530201345,27337.347617449665
2018-07-01,342,2446.2998245614035,27322.669444444444
2018-08-01,390,2258.9127948717946,27560.116717948717
2018-09-01,316,2309.0812341772153,28224.072246835443
2018-10-01,303,2149.83,27044.755214521454
2018-11-01,327,2175.5964220183487,28975.733272171252
2018-12-01,371,2253.335444743935,27080.068274932615
2019-01-01,278,2292.559964028777,24573.18517985612
2019-02-01,248,2018.2005241935483,25353.003306451614
2019-03-01,400,2434.31995,28262.8145
2019-04-01,279,2563.5013620071686,27180.053655913976
2019-05-01,328,2506.7794512195123,29029.11112804878
2019-06-01,311,2614.7644051446946,28727.211414790996
2019-07-01,322,2791.7122049689438,28159.87440993789
2019-08-01,350,2777.365542857143,27855.86405714286
2019-09-01,304,2397.5553289473683,28460.60138157895
2019-10-01,297,2606.8133333333335,27433.050336700337
2019-11-01,323,2429.915510835913,28418.05157894737
2019-12-01,332,2414.821325301205,29288.15198795181
2020-01-01,299,2321.6932775919736,26840.67829431438
2020-02-01,309,2221.9355339805825,26929.002556634303
2020-03-01,170,2180.2944117647057,27981.914058823528
2020-04-01,2,790.1199999999999,12243.5
2020-05-01,363,2143.682093663912,29184.959256198348
2020-06-01,306,2428.7632352941177,25906.607124183007
2020-07-01,295,2582.761661016949,24873.98820338983
2020-08-01,300,2666.8518333333336,26966.6686
2020-09-01,272,3040.260882352941,28663.672169117646
2020-10-01,293,2956.3456313993174,28284.19375426621
