date,n,fgp,tgp,cp,fgp_a,tgp_a,cp_a
2016-01-01,166,221448.93,357921.07,2994556.27,1334.0296987951806,2156.1510240963858,18039.49560240964
2016-02-01,151,177921.19,317385.49,2651864.77,1178.2860264900662,2101.8906622516556,17562.01834437086
2016-03-01,155,204042.42,359305.61,2994794.02,1316.4027096774194,2318.100709677419,19321.251741935484
2016-04-01,161,199070.29,362477.02,3383671.5,1236.4614285714285,2251.4100621118014,21016.593167701863
2016-05-01,176,224327.95,413391.49,3334746.87,1274.590625,2348.8152840909092,18947.425397727275
2016-06-01,133,192212.65,315686.67,2670258.1,1445.207894736842,2373.583984962406,20077.128571428573
2016-07-01,158,214146.31,344101.85,2974991.32,1355.3563924050634,2177.859810126582,18829.05898734177
2016-08-01,139,188928.8,342540.86,2791809.91,1359.1999999999998,2464.3227338129495,20084.963381294965
2016-09-01,139,196043.1,294142.22,2614841.28,1410.3820143884893,2116.1310791366905,18811.807769784173
2016-10-01,130,186065.55,290530.69,2445376.69,1431.2734615384616,2234.8514615384615,18810.58992307692
2016-11-01,126,170203.92,270801.63,2426675.64,1350.824761904762,2149.219285714286,19259.330476190476
2016-12-01,159,237233.65,365602.24,3232659.6,1492.0355345911948,2299.3851572327044,20331.19245283019
2017-01-01,134,179909.4,315246.71,2614088.47,1342.607462686567,2352.5873880597014,19508.122910447764
2017-02-01,128,165961.66,285553.02,2517296.36,1296.57546875,2230.88296875,19666.3778125
2017-03-01,147,183761.09,333240.91,2721918.13,1250.0754421768706,2266.9449659863944,18516.449863945578
2017-04-01,126,156307.3,271263.23,2501863.37,1240.534126984127,2152.882777777778,19856.058492063494
2017-05-01,154,196158.15,333059.96,2893221.77,1273.7542207792208,2162.727012987013,18787.15435064935
2017-06-01,139,183529.68,278042.3,2676193.55,1320.3574100719425,2000.3043165467625,19253.191007194244
2017-07-01,158,225271.28,378434.44,3112599.62,1425.7675949367087,2395.1546835443037,19699.99759493671
2017-08-01,158,202848.87,318413.48,2807728.08,1283.8536075949366,2015.2751898734175,17770.43088607595
2017-09-01,137,171818.14,275826.91,2505672.69,1254.1470072992702,2013.3351094890509,18289.581678832117
2017-10-01,138,189730.51,294406.42,2644738.17,1374.858768115942,2133.3798550724637,19164.769347826088
2017-11-01,148,185810.72,331670.83,2781787.81,1255.4778378378378,2241.0191216216217,18795.86358108108
2017-12-01,173,214360.85,373405.68,3472103.14,1239.0800578034682,2158.4143352601154,20069.96034682081
2018-01-01,133,173991.57,273470.56,2497675.12,1308.2072932330827,2056.1696240601505,18779.51218045113
2018-02-01,150,184910.06,314038.38,2869927,1232.7337333333332,2093.5892,19132.846666666668
2018-03-01,198,248644.44,422151.47,3948236.17,1255.78,2132.078131313131,19940.58671717172
2018-04-01,143,182064,324420.95,2953490.08,1273.1748251748252,2268.677972027972,20653.776783216785
2018-05-01,135,199967.18,347607.29,2841782.51,1481.2383703703704,2574.868814814815,21050.240814814813
2018-06-01,133,217248.47,348665.68,2719118.68,1633.4471428571428,2621.5464661654137,20444.50135338346
2018-07-01,161,204741.97,383259.11,3229997.17,1271.6892546583852,2380.4913664596274,20062.094223602486
2018-08-01,171,248838.56,392044.83,3681494.22,1455.1962573099415,2292.6598245614036,21529.205964912282
2018-09-01,131,181286.53,294877.81,2947051.45,1383.866641221374,2250.975648854962,22496.575954198473
2018-10-01,146,184553.23,321973.69,3227994.3,1264.0632191780824,2205.2992465753423,22109.55
2018-11-01,130,160638.52,281970.56,3144783.26,1235.680923076923,2169.0043076923075,24190.64046153846
2018-12-01,168,237084.52,350159.33,3558771.07,1411.2173809523808,2084.281726190476,21183.16113095238
2019-01-01,162,208856.17,347112.23,3204629.68,1289.2356172839507,2142.668086419753,19781.664691358026
2019-02-01,135,174495.59,271015.88,2761191.01,1292.5599259259259,2007.525037037037,20453.26674074074
2019-03-01,178,233949.16,426619.61,3684730.08,1314.3211235955057,2396.739382022472,20700.730786516855
2019-04-01,151,198353.4,359637.59,3117843.02,1313.5986754966887,2381.705894039735,20647.96701986755
2019-05-01,154,224342.5,401138.31,3368079.45,1456.7694805194806,2604.7942207792207,21870.64577922078
2019-06-01,137,210421,334867.26,2947369.8,1535.9197080291972,2444.286569343066,21513.64817518248
2019-07-01,169,228201.56,429156.01,4005053.55,1350.3050887573963,2539.384674556213,23698.54171597633
2019-08-01,176,219133.96,434980.42,3555294.08,1245.079318181818,2471.479659090909,20200.534545454546
2019-09-01,140,165233.38,300548.73,2927092.15,1180.2384285714286,2146.7766428571426,20907.80107142857
2019-10-01,152,184150.47,343648.93,3209962.06,1211.51625,2260.8482236842106,21118.171447368422
2019-11-01,157,185059.35,321886.64,3408847.84,1178.721974522293,2050.2333757961783,21712.40662420382
2019-12-01,137,188585.42,333794.7,3104584.75,1376.5359124087593,2436.457664233577,22661.202554744526
2020-01-01,142,181307.19,316580.77,2770444.3,1276.8111971830986,2229.4420422535213,19510.17112676056
2020-02-01,167,206379,360761.58,3424805.77,1235.802395209581,2160.2489820359283,20507.81898203593
2020-03-01,86,80329.36,167021.25,1745197.77,934.0623255813954,1942.1075581395348,20292.997325581397
2020-04-01,2,948.93,1580.2399999999998,24487,474.465,790.1199999999999,12243.5
2020-05-01,172,249403.16,396083.53,4002989.32,1450.0183720930233,2302.8112209302326,23273.19372093023
2020-06-01,161,283235.35,390287.08,3253712,1759.2257763975153,2424.1433540372673,20209.391304347828
2020-07-01,159,306167.55,439528.42,3106707.51,1925.582075471698,2764.329685534591,19539.040943396227
2020-08-01,152,279745.9,411684.11,3258035.23,1840.433552631579,2708.448092105263,21434.442302631578
2020-09-01,134,237127.75,420470.7,2955190.14,1769.6100746268658,3137.8410447761194,22053.65776119403
2020-10-01,140,225902.48,398407.15,3113210.11,1613.5891428571429,2845.7653571428573,22237.21507142857
