,model,split,scoring_method,train_score,eval_score
0,lm,"(130, 135)",mean_squared_error,1770.3950302889916,8575.511618798577
1,tree,"(130, 135)",mean_squared_error,1875.9065865384616,3440.145733173077
2,rf,"(130, 135)",mean_squared_error,1463.6094034442629,1350.0327476615323
3,lm,"(125, 135)",mean_squared_error,1761.367654688472,4268.215420023678
4,tree,"(125, 135)",mean_squared_error,2.5613333333333332,26951.153846153848
5,rf,"(125, 135)",mean_squared_error,1064.7480809784697,1014.0208036792204
6,lm,"(120, 135)",mean_squared_error,2056.593399142654,1522.0428514120429
7,tree,"(120, 135)",mean_squared_error,878.1098145060993,65588.12905276542
8,rf,"(120, 135)",mean_squared_error,676.3407328582347,3970.6949346733827
9,lm,"(115, 135)",mean_squared_error,969.7142762252832,3407.693592676762
10,tree,"(115, 135)",mean_squared_error,996.605823237097,3612.301457331731
11,rf,"(115, 135)",mean_squared_error,855.9785980714871,2873.846143436626
12,lm,"(110, 135)",mean_squared_error,993.1915742617111,3900.272314011246
13,tree,"(110, 135)",mean_squared_error,1024.5373484515776,3548.0732299250817
14,rf,"(110, 135)",mean_squared_error,589.4467195030494,3281.2686288480627
15,lm,"(105, 135)",mean_squared_error,883.8043538231926,4025.7457679286085
16,tree,"(105, 135)",mean_squared_error,990.7283204717988,3316.688652256834
17,rf,"(105, 135)",mean_squared_error,628.8694456709375,2809.9902000445286
18,lm,"(100, 135)",mean_squared_error,671.4157771716688,3971.6130496812166
19,tree,"(100, 135)",mean_squared_error,830.5834877622376,11015.207758053915
20,rf,"(100, 135)",mean_squared_error,478.6769839115963,4425.1081615429075
21,lm,"(95, 135)",mean_squared_error,1045.7703700306072,22223.57614787918
22,tree,"(95, 135)",mean_squared_error,847.5020884747752,10903.002556999785
23,rf,"(95, 135)",mean_squared_error,468.13175101896593,4322.734416087715
24,lm,"(90, 135)",mean_squared_error,863.2643151697139,21717.430393668124
25,tree,"(90, 135)",mean_squared_error,445.8226362320807,11534.035137701805
26,rf,"(90, 135)",mean_squared_error,515.7502971767336,3453.6125938337395
27,lm,"(85, 135)",mean_squared_error,1016.3864460846103,26703.936152195183
28,tree,"(85, 135)",mean_squared_error,713.1670842882606,10049.012951334382
29,rf,"(85, 135)",mean_squared_error,507.2997737134564,3984.5666135081096
30,lm,"(80, 135)",mean_squared_error,905.9364772234001,30439.061872716862
31,tree,"(80, 135)",mean_squared_error,0.15833333333333333,15631.273504273502
32,rf,"(80, 135)",mean_squared_error,739.5665513797609,5050.448175168044
33,lm,"(75, 135)",mean_squared_error,955.3580274406345,18917.147685743214
34,tree,"(75, 135)",mean_squared_error,341.53035897435893,14277.855576923077
35,rf,"(75, 135)",mean_squared_error,197.49405178198097,3917.2654965312777
36,lm,"(70, 135)",mean_squared_error,553.2783929896589,1742.3825118126033
37,tree,"(70, 135)",mean_squared_error,552.0425579322639,8424.587170614852
38,rf,"(70, 135)",mean_squared_error,149.33842295906575,2886.888029233994
39,lm,"(65, 135)",mean_squared_error,540.3199831775778,881.2685611284566
40,tree,"(65, 135)",mean_squared_error,563.6159673659674,9369.788461538461
41,rf,"(65, 135)",mean_squared_error,263.2120108644577,3684.4438596714826
42,lm,"(60, 135)",mean_squared_error,942.1037609630039,12791.593597632374
43,tree,"(60, 135)",mean_squared_error,592.7726388888889,9482.150240384615
44,rf,"(60, 135)",mean_squared_error,467.050114151357,1097.4615415492385
45,lm,"(55, 135)",mean_squared_error,768.4129107001938,49091.56334237092
46,tree,"(55, 135)",mean_squared_error,496.6789743589744,5719.627330450618
47,rf,"(55, 135)",mean_squared_error,349.17661163486815,1485.228130808934
48,lm,"(50, 135)",mean_squared_error,521.4054610510077,195192.6414187136
49,tree,"(50, 135)",mean_squared_error,79.07801298701298,7048.363076923077
50,rf,"(50, 135)",mean_squared_error,95.49749491697034,1816.1986964270206
51,lm,"(45, 135)",mean_squared_error,261.54169890553226,57336.18799202326
52,tree,"(45, 135)",mean_squared_error,41.98068783068783,5912.403846153846
53,rf,"(45, 135)",mean_squared_error,281.12349320587975,1955.4058768630425
54,lm,"(40, 135)",mean_squared_error,496.8844492020518,106299.32300330541
55,tree,"(40, 135)",mean_squared_error,265.17214743589744,1384.5857988165683
56,rf,"(40, 135)",mean_squared_error,103.54329375000002,2295.9826692307697
57,lm,"(35, 135)",mean_squared_error,367.24642504862766,1852.691067837134
58,tree,"(35, 135)",mean_squared_error,77.10833333333335,1346.1111111111115
59,rf,"(35, 135)",mean_squared_error,273.2182851954036,1374.7862589382053
60,lm,"(30, 135)",mean_squared_error,407.7998937517283,42683.848411931926
61,tree,"(30, 135)",mean_squared_error,157.02301587301588,1690.8653846153845
62,rf,"(30, 135)",mean_squared_error,258.71422215951117,1508.984397847022
63,lm,"(25, 135)",mean_squared_error,275.3648894898057,332972.0424426079
64,tree,"(25, 135)",mean_squared_error,0.0,1303.5384615384614
65,rf,"(25, 135)",mean_squared_error,140.93684073793833,1435.817129321338
66,lm,"(20, 135)",mean_squared_error,286.3875,5658.716346153846
67,tree,"(20, 135)",mean_squared_error,72.92738095238096,4183.1507064364205
68,rf,"(20, 135)",mean_squared_error,279.82278845000013,5567.199065634613
